name,smiles
rmol_50_2a,Cc1c(C)c(C2(O)N(C)C(C(C)(C)C)=C(C(C)(C)C)N2C(C)(C)C)c(C)c(C)c1-c1n(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)[n+]1C
rmol_51,Cc1c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2C)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C
rmol_51_2a,Cc1c(C)c(C2(O)N(C)C(c3ccccc3)=C(c3ccccc3)N2C)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1C
rmol_52,Cc1c(C)c(-c2n(C)c(Cc3ccccc3)c(Cc3ccccc3)[n+]2C)c(C)c(C)c1-c1n(C)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1C
rmol_52_2a,Cc1c(C)c(C2(O)N(C)C(Cc3ccccc3)=C(Cc3ccccc3)N2C)c(C)c(C)c1-c1n(C)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1C
rmol_53,Cc1c(C)c(-c2n(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)[n+]2-c2ccccc2)c(C)c(C)c1-c1n(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)[n+]1-c1ccccc1
rmol_53_2a,Cc1c(C)c(C2(O)N(c3ccccc3)C(c3ccccc3)=C(c3ccccc3)N2c2ccccc2)c(C)c(C)c1-c1n(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)[n+]1-c1ccccc1
rmol_54,Cc1c(C)c(-c2n(Cc3ccccc3)c(Cc3ccccc3)c(Cc3ccccc3)[n+]2Cc2ccccc2)c(C)c(C)c1-c1n(Cc2ccccc2)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1Cc1ccccc1
rmol_54_2a,Cc1c(C)c(C2(O)N(Cc3ccccc3)C(Cc3ccccc3)=C(Cc3ccccc3)N2Cc2ccccc2)c(C)c(C)c1-c1n(Cc2ccccc2)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1Cc1ccccc1
rmol_55,Cc1c(C)c(-c2n(C)c(Cc3ccccc3)c(Cc3ccccc3)[n+]2-c2ccccc2)c(C)c(C)c1-c1n(C)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1-c1ccccc1
rmol_55_2a,Cc1c(C)c(C2(O)N(C)C(Cc3ccccc3)=C(Cc3ccccc3)N2c2ccccc2)c(C)c(C)c1-c1n(C)c(Cc2ccccc2)c(Cc2ccccc2)[n+]1-c1ccccc1
rmol_56,Cc1c(C)c(-c2n(C)c(-c3ccccc3)c(-c3ccccc3)[n+]2Cc2ccccc2)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1Cc1ccccc1
rmol_56_2a,Cc1c(C)c(C2(O)N(C)C(c3ccccc3)=C(c3ccccc3)N2Cc2ccccc2)c(C)c(C)c1-c1n(C)c(-c2ccccc2)c(-c2ccccc2)[n+]1Cc1ccccc1
rmol_57,CCC[n+]1c(CC)c(CC)n(-c2c(OC)cc(OC)cc2OC)c1-c1c(C)c(C)c(-c2n(-c3c(OC)cc(OC)cc3OC)c(CC)c(CC)[n+]2CCC)c(C)c1C
rmol_57_2a,CCCN1C(CC)=C(CC)N(c2c(OC)cc(OC)cc2OC)C1(O)c1c(C)c(C)c(-c2n(-c3c(OC)cc(OC)cc3OC)c(CC)c(CC)[n+]2CCC)c(C)c1C
rmol_58,CCCn1c(C)c(C)[n+](CCC)c1-c1c(C)c(C)c(-c2n(CCC)c(C)c(C)[n+]2CCC)c(C)c1C
rmol_58_2a,CCCN1C(C)=C(C)N(CCC)C1(O)c1c(C)c(C)c(-c2n(CCC)c(C)c(C)[n+]2CCC)c(C)c1C
rmol_59,Cc1c(C)c(-c2n(-c3ccccc3)c(C)c(C)[n+]2-c2ccccc2)c(C)c(C)c1-c1n(-c2ccccc2)c(C)c(C)[n+]1-c1ccccc1
rmol_59_2a,CC1=C(C)N(c2ccccc2)C(O)(c2c(C)c(C)c(-c3n(-c4ccccc4)c(C)c(C)[n+]3-c3ccccc3)c(C)c2C)N1c1ccccc1
rmol_60,CCc1c(CC)[n+](Cc2ccccc2)c(-c2c(C)c(C)c(-c3n(Cc4ccccc4)c(CC)c(CC)[n+]3Cc3ccccc3)c(C)c2C)n1Cc1ccccc1
rmol_60_2a,CCC1=C(CC)N(Cc2ccccc2)C(O)(c2c(C)c(C)c(-c3n(Cc4ccccc4)c(CC)c(CC)[n+]3Cc3ccccc3)c(C)c2C)N1Cc1ccccc1
rmol_61,Cc1cc(C)c(-c2n(C)c3ccccc3[n+]2C)c(C)c1-c1n(C)c2ccccc2[n+]1C
rmol_61_2a,Cc1cc(C)c(C2(O)N(C)c3ccccc3N2C)c(C)c1-c1n(C)c2ccccc2[n+]1C
rmol_62,Cc1ccc2c(c1)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4ccc(C)cc4[n+]3C)c1C)n2C
rmol_62_2a,Cc1ccc2c(c1)N(C)C(O)(c1c(C)cc(C)c(-c3n(C)c4ccc(C)cc4[n+]3C)c1C)N2C
rmol_63,Cc1cc2c(cc1C)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4cc(C)c(C)cc4[n+]3C)c1C)n2C
rmol_63_2a,Cc1cc2c(cc1C)N(C)C(O)(c1c(C)cc(C)c(-c3n(C)c4cc(C)c(C)cc4[n+]3C)c1C)N2C
rmol_64,CCCc1cc2c(cc1CCC)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4cc(CCC)c(CCC)cc4[n+]3C)c1C)n2C
rmol_64_2a,CCCc1cc2c(cc1CCC)N(C)C(O)(c1c(C)cc(C)c(-c3n(C)c4cc(CCC)c(CCC)cc4[n+]3C)c1C)N2C
rmol_65,Cc1cc(C)c(-c2n(C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3[n+]2C)c(C)c1-c1n(C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C
rmol_65_2a,Cc1cc(C)c(C2(O)N(C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3N2C)c(C)c1-c1n(C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C
rmol_66,CCn1c(-c2c(C)cc(C)c(-c3n(CC)c4ccc(C)cc4[n+]3CC)c2C)[n+](CC)c2cc(C)ccc21
rmol_66_2a,CCN1c2ccc(C)cc2N(CC)C1(O)c1c(C)cc(C)c(-c2n(CC)c3ccc(C)cc3[n+]2CC)c1C
rmol_67,CCc1cc2c(cc1CC)[n+](C)c(-c1c(C)cc(C)c(-c3n(C)c4cc(CC)c(CC)cc4[n+]3C)c1C)n2C
rmol_67_2a,CCc1cc2c(cc1CC)N(C)C(O)(c1c(C)cc(C)c(-c3n(C)c4cc(CC)c(CC)cc4[n+]3C)c1C)N2C
rmol_68,CCCc1cc2c(cc1CCC)[n+](CCC)c(-c1c(C)cc(C)c(-c3n(CCC)c4cc(CCC)c(CCC)cc4[n+]3CCC)c1C)n2CCC
rmol_68_2a,CCCc1cc2c(cc1CCC)N(CCC)C(O)(c1c(C)cc(C)c(-c3n(CCC)c4cc(CCC)c(CCC)cc4[n+]3CCC)c1C)N2CCC
rmol_69,Cc1cc(C)c(-c2n(C(C)(C)C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3[n+]2C(C)(C)C)c(C)c1-c1n(C(C)(C)C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C(C)(C)C
rmol_69_2a,Cc1cc(C)c(C2(O)N(C(C)(C)C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3N2C(C)(C)C)c(C)c1-c1n(C(C)(C)C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C(C)(C)C
rmol_70,Cc1cc(C)c(-c2n(C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3[n+]2C(C)(C)C)c(C)c1-c1n(C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C(C)(C)C
rmol_70_2a,Cc1cc(C)c(C2(O)N(C)c3cc(C(C)(C)C)c(C(C)(C)C)cc3N2C(C)(C)C)c(C)c1-c1n(C)c2cc(C(C)(C)C)c(C(C)(C)C)cc2[n+]1C(C)(C)C
rmol_71,Cc1cc(C)c(-c2n(C)c3cc(-c4ccccc4)c(-c4ccccc4)cc3[n+]2C)c(C)c1-c1n(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1C
rmol_71_2a,Cc1cc(C)c(C2(O)N(C)c3cc(-c4ccccc4)c(-c4ccccc4)cc3N2C)c(C)c1-c1n(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1C
rmol_72,Cc1cc(C)c(-c2n(C)c3cc(Cc4ccccc4)c(Cc4ccccc4)cc3[n+]2C)c(C)c1-c1n(C)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1C
rmol_72_2a,Cc1cc(C)c(C2(O)N(C)c3cc(Cc4ccccc4)c(Cc4ccccc4)cc3N2C)c(C)c1-c1n(C)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1C
rmol_73,Cc1cc(C)c(-c2n(-c3ccccc3)c3cc(-c4ccccc4)c(-c4ccccc4)cc3[n+]2-c2ccccc2)c(C)c1-c1n(-c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1-c1ccccc1
rmol_73_2a,Cc1cc(C)c(C2(O)N(c3ccccc3)c3cc(-c4ccccc4)c(-c4ccccc4)cc3N2c2ccccc2)c(C)c1-c1n(-c2ccccc2)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1-c1ccccc1
rmol_74,Cc1cc(C)c(-c2n(Cc3ccccc3)c3cc(Cc4ccccc4)c(Cc4ccccc4)cc3[n+]2Cc2ccccc2)c(C)c1-c1n(Cc2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1Cc1ccccc1
rmol_74_2a,Cc1cc(C)c(C2(O)N(Cc3ccccc3)c3cc(Cc4ccccc4)c(Cc4ccccc4)cc3N2Cc2ccccc2)c(C)c1-c1n(Cc2ccccc2)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1Cc1ccccc1
rmol_75,Cc1cc(C)c(-c2n(C)c3cc(Cc4ccccc4)c(Cc4ccccc4)cc3[n+]2-c2ccccc2)c(C)c1-c1n(C)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1-c1ccccc1
rmol_75_2a,Cc1cc(C)c(C2(O)N(C)c3cc(Cc4ccccc4)c(Cc4ccccc4)cc3N2c2ccccc2)c(C)c1-c1n(C)c2cc(Cc3ccccc3)c(Cc3ccccc3)cc2[n+]1-c1ccccc1
rmol_76,Cc1cc(C)c(-c2n(C)c3cc(-c4ccccc4)c(-c4ccccc4)cc3[n+]2Cc2ccccc2)c(C)c1-c1n(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1Cc1ccccc1
rmol_76_2a,Cc1cc(C)c(C2(O)N(C)c3cc(-c4ccccc4)c(-c4ccccc4)cc3N2Cc2ccccc2)c(C)c1-c1n(C)c2cc(-c3ccccc3)c(-c3ccccc3)cc2[n+]1Cc1ccccc1
rmol_77,CCC[n+]1c(-c2c(C)cc(C)c(-c3n(-c4c(OC)cc(OC)cc4OC)c4cc(CC)c(CC)cc4[n+]3CCC)c2C)n(-c2c(OC)cc(OC)cc2OC)c2cc(CC)c(CC)cc21
rmol_77_2a,CCCN1c2cc(CC)c(CC)cc2N(c2c(OC)cc(OC)cc2OC)C1(O)c1c(C)cc(C)c(-c2n(-c3c(OC)cc(OC)cc3OC)c3cc(CC)c(CC)cc3[n+]2CCC)c1C
rmol_78,CCCn1c(-c2c(C)cc(C)c(-c3n(CCC)c4cc(C)c(C)cc4[n+]3CCC)c2C)[n+](CCC)c2cc(C)c(C)cc21
rmol_78_2a,CCCN1c2cc(C)c(C)cc2N(CCC)C1(O)c1c(C)cc(C)c(-c2n(CCC)c3cc(C)c(C)cc3[n+]2CCC)c1C
rmol_79,Cc1cc2c(cc1C)[n+](-c1ccccc1)c(-c1c(C)cc(C)c(-c3n(-c4ccccc4)c4cc(C)c(C)cc4[n+]3-c3ccccc3)c1C)n2-c1ccccc1
rmol_79_2a,Cc1cc2c(cc1C)N(c1ccccc1)C(O)(c1c(C)cc(C)c(-c3n(-c4ccccc4)c4cc(C)c(C)cc4[n+]3-c3ccccc3)c1C)N2c1ccccc1
rmol_80,CCc1cc2c(cc1CC)[n+](Cc1ccccc1)c(-c1c(C)cc(C)c(-c3n(Cc4ccccc4)c4cc(CC)c(CC)cc4[n+]3Cc3ccccc3)c1C)n2Cc1ccccc1
rmol_80_2a,CCc1cc2c(cc1CC)N(Cc1ccccc1)C(O)(c1c(C)cc(C)c(-c3n(Cc4ccccc4)c4cc(CC)c(CC)cc4[n+]3Cc3ccccc3)c1C)N2Cc1ccccc1
