Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_10154,-1932.759503462021,104,9.71979,647.9529999999978,-150.87198887,-149.108061071,-38.056538323,-18.960811944,III_benzimid,TMBz,Isobutyl,TMBz,EP,EP,2.232277195,3.276026296,2.232277195,3.874770761,3.874770761,0.055865,0.294176,0.06287,
mol_10160,-1457.279344875163,64,1.74271,447.54604000000035,-147.644710083,-147.587606764,-36.491530877,-19.376850411,III_benzimid,DMOB,Isobutyl,DMOB,Hydro,Hydro,6.042753333,3.276026296,6.042753333,0,0,0.071424,0.352345,0.073007,
mol_10162,-1614.461721709946,76,3.64342,503.6523600000005,-147.44139716700002,-147.223651544,-34.612141422,-18.915003787,III_benzimid,DMOB,Isobutyl,DMOB,Ethyl,Ethyl,6.042753333,3.276026296,6.042753333,1.711067804,1.711067804,0.072845,0.350268,0.072729,
mol_10171,-2076.373210042135,96,11.41498,655.8442799999982,-147.74071896,-147.567526476,-38.982114098,-20.053932622,III_benzimid,DMOB,Isobutyl,DMOB,DMP,DMP,6.042753333,3.276026296,6.042753333,8.431506296,8.431506296,0.068871,0.340442,0.068657,
mol_10175,-1997.789468262919,90,10.08804,627.7911199999983,-147.514188211,-147.315267858,-35.889749746,-19.585183398999998,III_benzimid,DMOB,Isobutyl,DMOB,Bz,Bz,6.042753333,3.276026296,6.042753333,1.541420611,1.541420611,0.069567,0.341287,0.070815,
mol_10181,-1764.871335690728,78,4.95109,535.6511599999991,-145.918432824,-142.780260315,-32.232627294000004,-10.812607579,III_benzimid,TMOB,Isobutyl,TMOB,Methyl,Methyl,6.045928531,3.276026296,6.045928531,1.803016771,1.803016771,0.07668,0.362332,0.078018,
mol_10191,-2305.368319009543,104,10.56535,715.8962399999982,-146.361454178,-143.707091108,-37.909073708,-15.218975777,III_benzimid,TMOB,Isobutyl,TMOB,DMP,DMP,6.045928531,3.276026296,6.045928531,8.431506296,8.431506296,0.068414,0.336489,0.066804,
mol_10193,-2383.970364628952,110,10.80390,743.9493999999981,-145.196169965,-143.46110758,-36.315200848,-15.365185374000001,III_benzimid,TMOB,Isobutyl,TMOB,TMP,TMP,6.045928531,3.276026296,6.045928531,7.628118434,7.628118434,0.064892,0.33215,0.065599,
mol_1020,-1307.635231137480,62,5.58292,429.5753600000003,-159.33081019000002,-156.924940684,-26.768906431,-24.033594700000002,I_imid,phen,Ethyl,phen,tolu,tolu,3.620874142,1.711067804,3.620874142,3.798133026,3.798133026,0.063151,0.23324,0.075145,
mol_10201,-1394.630276298585,82,0.72565,471.7396800000006,-153.787395684,-151.093499547,-35.327501682000005,-5.505763966000001,III_benzimid,adam,Isobutyl,adam,Methyl,Methyl,3.685796275,3.276026296,3.685796275,1.803016771,1.803016771,0.10079,0.40091,0.101833,
