Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_10262,-1008.880155228566,64,8.71099,343.5691600000006,-155.656744995,-153.894699723,-31.529189705,-6.7940399430000005,III_benzimid,Ethyl,Sec-Butyl,Ethyl,t-Butyl,t-Butyl,1.711067804,2.129855094,1.711067804,4.972259776,4.972259776,0.073896,0.33918,0.073207,
mol_10265,-1235.068543661361,66,14.72958,411.6016000000004,-153.447285806,-150.517446285,-36.751947112,-17.431572511000002,III_benzimid,Ethyl,Sec-Butyl,Ethyl,tolu,tolu,1.711067804,2.129855094,1.711067804,3.798133026,3.798133026,0.05766,0.294282,0.058123,
mol_10266,-1313.659862553127,72,15.53889,439.65476000000046,-151.069026696,-149.075430603,-36.057294649,-15.352007685,III_benzimid,Ethyl,Sec-Butyl,Ethyl,DMP,DMP,1.711067804,2.129855094,1.711067804,8.431506296,8.431506296,0.0553,0.286242,0.055164,
mol_10267,-1470.832723564956,84,16.65931,495.7610800000006,-149.675956716,-148.95996894700002,-35.813193648,-14.321010397999999,III_benzimid,Ethyl,Sec-Butyl,Ethyl,DEP,DEP,1.711067804,2.129855094,1.711067804,10.28464853,10.28464853,0.055777,0.287738,0.05651,
mol_10270,-1235.068152241722,66,11.08198,411.6016000000004,-155.349893094,-153.866461818,-32.238902384,-11.886275478,III_benzimid,Ethyl,Sec-Butyl,Ethyl,Bz,Bz,1.711067804,2.129855094,1.711067804,1.541420611,1.541420611,0.06979,0.323661,0.07029,
mol_10271,-1392.259162383056,78,12.45289,467.7079200000005,-150.81237551499999,-150.465363038,-31.876829690999998,-7.105284407,III_benzimid,Ethyl,Sec-Butyl,Ethyl,DMBz,DMBz,1.711067804,2.129855094,1.711067804,2.127721562,2.127721562,0.071569,0.326155,0.070772,
mol_10276,-851.749396912157,52,2.28261,287.4628400000005,-156.627501418,-152.97979160100002,-30.973216731,-3.616334367,III_benzimid,Propyl,Sec-Butyl,Propyl,Methyl,Methyl,1.649728751,2.129855094,1.649728751,1.803016771,1.803016771,0.069725,0.323217,0.069571,
mol_10278,-1008.923049020543,64,6.10957,343.56916000000064,-155.31412508100001,-152.726905474,-32.49869111,-5.07654781,III_benzimid,Propyl,Sec-Butyl,Propyl,Propyl,Propyl,1.649728751,2.129855094,1.649728751,1.649728751,1.649728751,0.067244,0.317181,0.065742,
mol_10289,-1392.251916409734,78,13.80578,467.7079200000005,-154.180216318,-149.440013332,-36.139498328,-18.087946925,III_benzimid,Propyl,Sec-Butyl,Propyl,EP,EP,1.649728751,2.129855094,1.649728751,3.874770761,3.874770761,0.057739,0.284159,0.052422,
mol_1029,-1916.024096431546,80,2.64584,581.6780799999984,-141.02009757000002,-137.665434456,-23.957666110999998,-20.896049700000003,I_imid,phen,Ethyl,phen,TMOB,TMOB,3.620874142,1.711067804,3.620874142,6.045928531,6.045928531,0.070312,0.240786,0.069027,
mol_10291,-1470.846368506929,84,11.64157,495.76108000000056,-150.729544327,-150.692521296,-32.149168597,-7.213843464,III_benzimid,Propyl,Sec-Butyl,Propyl,DMBz,DMBz,1.649728751,2.129855094,1.649728751,2.127721562,2.127721562,0.071909,0.328278,0.072207,
mol_10293,-1693.051025112323,82,11.23030,531.7055199999994,-139.210989123,-138.839503795,-33.361515985,-16.810966110000003,III_benzimid,Propyl,Sec-Butyl,Propyl,DMOB,DMOB,1.649728751,2.129855094,1.649728751,6.042753333,6.042753333,0.068478,0.315895,0.062795,
mol_10294,-1922.043412840590,90,13.17708,591.7574799999979,-134.990363589,-130.311656485,-32.767892471,-12.001109625,III_benzimid,Propyl,Sec-Butyl,Propyl,TMOB,TMOB,1.649728751,2.129855094,1.649728751,6.045928531,6.045928531,0.066061,0.320086,0.068547,
mol_10296,-930.336663015875,58,3.04367,315.51600000000053,-156.089098696,-152.70431515,-30.936193699999997,-3.255516692,III_benzimid,Butyl,Sec-Butyl,Butyl,Methyl,Methyl,1.602489835,2.129855094,1.602489835,1.803016771,1.803016771,0.072889,0.333201,0.07226,
mol_10297,-1008.921814224321,64,4.48853,343.5691600000006,-155.807347155,-153.086468131,-32.334283752,-4.7376929500000005,III_benzimid,Butyl,Sec-Butyl,Butyl,Ethyl,Ethyl,1.602489835,2.129855094,1.602489835,1.711067804,1.711067804,0.068209,0.319583,0.066414,
mol_10300,-1166.101571098361,76,7.64948,399.6754800000007,-155.28965223,-151.734186236,-31.914480231000002,-5.695899193,III_benzimid,Butyl,Sec-Butyl,Butyl,Isobutyl,Isobutyl,1.602489835,2.129855094,1.602489835,3.276026296,3.276026296,0.068549,0.326318,0.071244,
mol_10302,-1166.058441084692,76,7.43676,399.6754800000007,-155.419546593,-153.544549701,-31.051027847,-6.947152139,III_benzimid,Butyl,Sec-Butyl,Butyl,t-Butyl,t-Butyl,1.602489835,2.129855094,1.602489835,4.972259776,4.972259776,0.073976,0.336322,0.072708,
mol_10307,-1628.010074981369,96,14.94986,551.8673999999984,-150.45155784,-148.68574751399998,-35.62368593,-14.673670456,III_benzimid,Butyl,Sec-Butyl,Butyl,DEP,DEP,1.602489835,2.129855094,1.602489835,10.28464853,10.28464853,0.05704,0.289805,0.056354,
mol_10308,-1549.435270888291,90,13.77050,523.8142399999999,-147.595136872,-144.95708903599999,-35.576622755,-16.659108932,III_benzimid,Butyl,Sec-Butyl,Butyl,TMP,TMP,1.602489835,2.129855094,1.602489835,7.628118434,7.628118434,0.057291,0.293639,0.057764,
mol_10309,-1470.836127821301,84,12.77959,495.76108000000056,-153.323666533,-149.18147962400002,-36.921374542,-18.485160122,III_benzimid,Butyl,Sec-Butyl,Butyl,EP,EP,1.602489835,2.129855094,1.602489835,3.874770761,3.874770761,0.058836,0.281628,0.051008,
mol_10314,-2000.634988328045,96,12.53738,619.8106399999979,-134.247392933,-129.68163744900002,-32.471708223,-13.310093399000001,III_benzimid,Butyl,Sec-Butyl,Butyl,TMOB,TMOB,1.602489835,2.129855094,1.602489835,6.045928531,6.045928531,0.066728,0.319275,0.067701,
mol_10316,-930.336793402442,58,2.08391,315.51600000000053,-156.32755211600002,-153.082075568,-31.342192023,-4.005389947,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,Methyl,Methyl,3.276026296,2.129855094,3.276026296,1.803016771,1.803016771,0.073333,0.332179,0.071445,
mol_10318,-1087.512211437751,70,5.59242,371.6223200000007,-155.764676543,-152.643446777,-32.085790188,-6.115702714,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,Propyl,Propyl,3.276026296,2.129855094,3.276026296,1.649728751,1.649728751,0.067081,0.317432,0.067308,
mol_10321,-1166.087246787641,76,7.68914,399.67548000000073,-154.461967859,-152.962221349,-32.702004026000004,-4.148461999,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,Sec-Butyl,Sec-Butyl,3.276026296,2.129855094,3.276026296,2.129855094,2.129855094,0.070285,0.325037,0.067565,
mol_10322,-1166.057749085781,76,7.21658,399.6754800000007,-155.24447158200002,-153.64557865,-31.736267675,-7.174310397,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,t-Butyl,t-Butyl,3.276026296,2.129855094,3.276026296,4.972259776,4.972259776,0.075885,0.344126,0.074908,
mol_10324,-1313.661048880587,72,11.50407,439.65476000000046,-155.031746031,-146.239089923,-37.0857819,-24.519914175,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,phen,phen,3.276026296,2.129855094,3.276026296,3.620874142,3.620874142,0.057493,0.296272,0.057842,
mol_10326,-1470.838141559848,84,13.73045,495.76108000000056,-150.444655241,-148.348147672,-36.206641791,-17.014906535,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,DMP,DMP,3.276026296,2.129855094,3.276026296,8.431506296,8.431506296,0.054887,0.291573,0.059081,
mol_10328,-1549.435390027073,90,14.39050,523.8142399999999,-148.16114998999998,-145.76406561,-35.864021877,-13.932582327,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,TMP,TMP,3.276026296,2.129855094,3.276026296,7.628118434,7.628118434,0.060224,0.299774,0.059033,
mol_10329,-1470.837776029763,84,13.30311,495.7610800000006,-153.979413438,-153.216362494,-37.030561108,-13.735544501,III_benzimid,Isobutyl,Sec-Butyl,Isobutyl,EP,EP,3.276026296,2.129855094,3.276026296,3.874770761,3.874770761,0.056903,0.290639,0.058964,
mol_1033,-1081.497055189420,60,1.72384,361.54292000000044,-163.55833832300002,-155.72765351200002,-22.592206527000002,-17.917891986,I_imid,tolu,Ethyl,tolu,Propyl,Propyl,3.798133026,1.711067804,3.798133026,1.649728751,1.649728751,0.038172,0.108328,0.036611,
mol_10337,-1008.903283714503,64,3.97388,343.5691600000006,-155.808602173,-153.167416792,-32.698238972,-4.718240171,III_benzimid,Sec-Butyl,Sec-Butyl,Sec-Butyl,Ethyl,Ethyl,2.129855094,2.129855094,2.129855094,1.711067804,1.711067804,0.069803,0.318976,0.068185,
mol_10338,-1087.491150486537,70,5.86852,371.6223200000007,-155.353658148,-151.615587035,-31.813451282,-4.280866398,III_benzimid,Sec-Butyl,Sec-Butyl,Sec-Butyl,Propyl,Propyl,2.129855094,2.129855094,2.129855094,1.649728751,1.649728751,0.069987,0.33051,0.076688,
mol_10346,-1470.833521309660,84,13.79685,495.76108000000056,-150.03175431900002,-148.240843633,-35.606115678,-16.886894699000003,III_benzimid,Sec-Butyl,Sec-Butyl,Sec-Butyl,DMP,DMP,2.129855094,2.129855094,2.129855094,8.431506296,8.431506296,0.055986,0.283756,0.056131,
mol_1035,-1160.082678777133,66,2.94291,389.5960800000005,-163.477389662,-155.744596255,-22.58404891,-17.778584988,I_imid,tolu,Ethyl,tolu,Isobutyl,Isobutyl,3.798133026,1.711067804,3.798133026,3.276026296,3.276026296,0.053402,0.175694,0.053275,
mol_10350,-1392.230548345283,78,10.54564,467.7079200000005,-152.689882443,-151.779994393,-36.350968861,-13.657105876,III_benzimid,Sec-Butyl,Sec-Butyl,Sec-Butyl,Bz,Bz,2.129855094,2.129855094,2.129855094,1.541420611,1.541420611,0.068052,0.319936,0.066727,
mol_10355,-851.693933097324,52,1.64836,287.4628400000005,-161.475635952,-160.130884165,-38.508344803,-7.599761499,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,Hydro,Hydro,4.972259776,2.129855094,4.972259776,0,0,0.087995,0.376453,0.087621,
mol_10356,-930.290613106407,58,2.38349,315.51600000000053,-155.339225441,-152.388050614,-35.225217715,-4.0273527620000005,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,Methyl,Methyl,4.972259776,2.129855094,4.972259776,1.803016771,1.803016771,0.091991,0.377328,0.091337,
mol_10357,-1008.871112693988,64,4.45954,343.5691600000006,-153.6142032,-151.24723925199999,-40.0350742,-8.317631795,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,Ethyl,Ethyl,4.972259776,2.129855094,4.972259776,1.711067804,1.711067804,0.110818,0.419222,0.102617,
mol_10363,-1323.217369170191,88,9.73839,455.78180000000077,-153.769197923,-150.097642764,-36.425642432000004,-6.352901116,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,DMB,DMB,4.972259776,2.129855094,4.972259776,1.753807476,1.753807476,0.09969,0.387667,0.091757,
mol_10364,-1313.601580429046,72,12.19743,439.65476000000046,-153.405870212,-144.668434896,-45.58852885,-24.814843404999998,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,phen,phen,4.972259776,2.129855094,4.972259776,3.620874142,3.620874142,0.099945,0.419479,0.103398,
mol_10367,-1627.963325695993,96,15.34510,551.8673999999985,-148.76355863,-147.87877094,-39.570717540000004,-14.324147943,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,DEP,DEP,4.972259776,2.129855094,4.972259776,10.28464853,10.28464853,0.083357,0.359852,0.080808,
mol_10374,-2000.588720727411,96,12.65941,619.8106399999979,-134.217272501,-130.384447529,-36.661585816,-11.761401187,III_benzimid,t-Butyl,Sec-Butyl,t-Butyl,TMOB,TMOB,4.972259776,2.129855094,4.972259776,6.045928531,6.045928531,0.088285,0.373938,0.088959,
mol_10376,-1087.498671531980,70,3.28243,371.6223200000006,-155.316635117,-152.74196569,-32.413977395,-3.9953498030000003,III_benzimid,DMB,Sec-Butyl,DMB,Methyl,Methyl,1.753807476,2.129855094,1.753807476,1.803016771,1.803016771,0.079693,0.355641,0.080571,
mol_10379,-1323.256238765043,88,7.12218,455.7818000000008,-154.278107722,-152.352282601,-34.46906937,-5.069645211,III_benzimid,DMB,Sec-Butyl,DMB,Butyl,Butyl,1.753807476,2.129855094,1.753807476,1.602489835,1.602489835,0.076713,0.347717,0.074226,
mol_1038,-1317.249384625516,78,4.41097,445.7024000000006,-163.513157675,-155.218743713,-21.753226994000002,-21.308950622,I_imid,tolu,Ethyl,tolu,DMB,DMB,3.798133026,1.711067804,3.798133026,1.753807476,1.753807476,0.068675,0.19973,0.054008,
mol_10381,-1323.249881519806,88,6.00887,455.7818000000008,-154.706696369,-152.620228944,-33.278057288,-5.206442173,III_benzimid,DMB,Sec-Butyl,DMB,Sec-Butyl,Sec-Butyl,1.753807476,2.129855094,1.753807476,2.129855094,2.129855094,0.076696,0.351411,0.079403,
mol_10384,-1470.820007268969,84,9.82903,495.76108000000056,-155.059983936,-147.18223595,-36.891881619,-23.044013007,III_benzimid,DMB,Sec-Butyl,DMB,phen,phen,1.753807476,2.129855094,1.753807476,3.620874142,3.620874142,0.062349,0.303451,0.058308,
mol_10387,-1785.170576198335,108,14.08506,607.9737199999973,-149.56677015,-148.282886736,-37.103352152,-14.406351622,III_benzimid,DMB,Sec-Butyl,DMB,DEP,DEP,1.753807476,2.129855094,1.753807476,10.28464853,10.28464853,0.069201,0.32689,0.068593,
mol_10388,-1706.596799508286,102,12.99662,579.9205599999974,-147.930226678,-145.228800433,-36.692333757,-14.715713559,III_benzimid,DMB,Sec-Butyl,DMB,TMP,TMP,1.753807476,2.129855094,1.753807476,7.628118434,7.628118434,0.066575,0.325381,0.06755,
mol_10389,-1628.000302489057,96,11.88249,551.8673999999985,-153.857049183,-153.199419751,-37.045621324,-13.69224638,III_benzimid,DMB,Sec-Butyl,DMB,EP,EP,1.753807476,2.129855094,1.753807476,3.874770761,3.874770761,0.061322,0.30825,0.062938,
mol_10391,-1706.592236174731,102,12.83798,579.9205599999974,-149.996613815,-149.097393418,-33.066586755,-9.367454352000001,III_benzimid,DMB,Sec-Butyl,DMB,DMBz,DMBz,1.753807476,2.129855094,1.753807476,2.127721562,2.127721562,0.072014,0.339975,0.076721,
mol_10392,-1785.194526903172,108,9.90703,607.9737199999973,-146.544686806,-144.52850038900002,-32.774167561,-6.604532225,III_benzimid,DMB,Sec-Butyl,DMB,TMBz,TMBz,1.753807476,2.129855094,1.753807476,2.232277195,2.232277195,0.079923,0.358237,0.081321,
mol_10399,-1313.651157602030,72,7.01205,439.6547600000005,-158.202549008,-154.332073496,-35.033199961,-22.482392452,III_benzimid,phen,Sec-Butyl,phen,Butyl,Butyl,3.620874142,2.129855094,3.620874142,1.602489835,1.602489835,0.074669,0.349496,0.077363,
mol_104,-855.345385563356,58,4.65902,293.5104800000006,-187.97345849500002,-156.668289503,-17.875221374000002,8.965848592,I_imid,Isobutyl,Hydro,Isobutyl,Butyl,Butyl,3.276026296,0,3.276026296,1.602489835,1.602489835,0.146832,0.467334,0.151152,
mol_1040,-1386.229167590230,68,4.99124,457.6285200000003,-159.34963546,-157.67230390300003,-23.967078746,-21.09685258,I_imid,tolu,Ethyl,tolu,tolu,tolu,3.798133026,1.711067804,3.798133026,3.798133026,3.798133026,0.042799,0.171,0.075473,
mol_10400,-1313.652278389641,72,6.39785,439.65476000000046,-158.036259123,-154.142565778,-35.050770213,-22.522553028,III_benzimid,phen,Sec-Butyl,phen,Isobutyl,Isobutyl,3.620874142,2.129855094,3.620874142,3.276026296,3.276026296,0.07397,0.346734,0.076567,
mol_10401,-1313.645641526364,72,5.97865,439.6547600000005,-157.90322721500002,-154.453182733,-34.91460076,-22.593461545,III_benzimid,phen,Sec-Butyl,phen,Sec-Butyl,Sec-Butyl,3.620874142,2.129855094,3.620874142,2.129855094,2.129855094,0.078593,0.352637,0.075814,
mol_10411,-1696.985629804028,86,9.54418,563.793519999998,-150.82618071299999,-150.70256144,-34.033578124,-22.614796851,III_benzimid,phen,Sec-Butyl,phen,DMBz,DMBz,3.620874142,2.129855094,3.620874142,2.127721562,2.127721562,0.079755,0.357371,0.07998,
mol_10418,-1313.656100731522,72,3.84852,439.6547600000005,-158.855158368,-153.772335468,-34.812316793,-21.156465935,III_benzimid,tolu,Sec-Butyl,tolu,Propyl,Propyl,3.798133026,2.129855094,3.798133026,1.649728751,1.649728751,0.077026,0.34716,0.074612,
mol_1042,-1621.978495571296,86,7.08006,541.7879999999989,-154.406119558,-152.994224308,-27.356882364000004,-22.815599731000002,I_imid,tolu,Ethyl,tolu,DEP,DEP,3.798133026,1.711067804,3.798133026,10.28464853,10.28464853,0.080626,0.285427,0.083939,
mol_10420,-1392.247006013660,78,5.88473,467.7079200000005,-158.22262929599998,-154.43059240899998,-35.296753741,-21.348483689000002,III_benzimid,tolu,Sec-Butyl,tolu,Isobutyl,Isobutyl,3.798133026,2.129855094,3.798133026,3.276026296,3.276026296,0.075827,0.350612,0.075134,
mol_10422,-1392.203411933445,78,5.27795,467.7079200000005,-157.740074875,-155.237568983,-34.908953179,-21.350366216,III_benzimid,tolu,Sec-Butyl,tolu,t-Butyl,t-Butyl,3.798133026,2.129855094,3.798133026,4.972259776,4.972259776,0.079404,0.362308,0.079694,
mol_10423,-1549.415121416719,90,7.86565,523.8142399999999,-157.35729438500002,-153.378887325,-35.5170094,-21.240552141,III_benzimid,tolu,Sec-Butyl,tolu,DMB,DMB,3.798133026,2.129855094,3.798133026,1.753807476,1.753807476,0.073852,0.348256,0.075862,
mol_10425,-1618.395058511814,80,10.32163,535.740359999999,-153.614830709,-149.461976147,-40.365143933999995,-24.32852393,III_benzimid,tolu,Sec-Butyl,tolu,tolu,tolu,3.798133026,2.129855094,3.798133026,3.798133026,3.798133026,0.072823,0.330545,0.062957,
mol_10430,-1618.388450217390,80,10.21722,535.740359999999,-155.262669343,-153.69577937,-36.791480179000004,-21.754482012,III_benzimid,tolu,Sec-Butyl,tolu,Bz,Bz,3.798133026,2.129855094,3.798133026,1.541420611,1.541420611,0.071522,0.337049,0.070417,
mol_10436,-1235.074566904210,66,0.13646,411.6016000000004,-158.63176516400003,-155.179838155,-35.05892783,-20.194494638000002,III_benzimid,DMP,Sec-Butyl,DMP,Methyl,Methyl,8.431506296,2.129855094,8.431506296,1.803016771,1.803016771,0.080745,0.360992,0.081319,
mol_10438,-1392.250900259273,78,3.40821,467.70792000000057,-158.513793472,-154.1162104,-35.024414835,-20.5822952,III_benzimid,DMP,Sec-Butyl,DMP,Propyl,Propyl,8.431506296,2.129855094,8.431506296,1.649728751,1.649728751,0.078922,0.360057,0.082385,
mol_10439,-1470.838754284763,84,5.15164,495.7610800000006,-157.997353565,-154.245477254,-35.879709602,-20.391532463999997,III_benzimid,DMP,Sec-Butyl,DMP,Butyl,Butyl,8.431506296,2.129855094,8.431506296,1.602489835,1.602489835,0.076959,0.35161,0.075943,
mol_1044,-1464.813704532939,74,5.50406,485.6816800000004,-158.537638814,-157.99296100200002,-23.657716809,-21.786484971,I_imid,tolu,Ethyl,tolu,EP,EP,3.798133026,1.711067804,3.798133026,3.874770761,3.874770761,0.085154,0.276844,0.08345,
mol_10443,-1628.005276626459,96,7.16056,551.8673999999984,-156.827676789,-153.09086069399999,-36.605110006,-18.591836652,III_benzimid,DMP,Sec-Butyl,DMP,DMB,DMB,8.431506296,2.129855094,8.431506296,1.753807476,1.753807476,0.077753,0.357325,0.079883,
mol_10445,-1696.988598033542,86,9.55697,563.793519999998,-154.571781934,-151.678965444,-39.474708663,-21.066104639,III_benzimid,DMP,Sec-Butyl,DMP,tolu,tolu,8.431506296,2.129855094,8.431506296,3.798133026,3.798133026,0.070541,0.32689,0.063124,
mol_10452,-1932.770992104213,104,8.62456,647.9529999999978,-146.650108318,-144.702320382,-34.804159176,-20.509504156,III_benzimid,DMP,Sec-Butyl,DMP,TMBz,TMBz,8.431506296,2.129855094,8.431506296,2.232277195,2.232277195,0.079541,0.360024,0.080868,
mol_10454,-2305.371497941158,104,9.37846,715.8962399999982,-136.551605981,-131.618130223,-36.64025051,-20.559077367,III_benzimid,DMP,Sec-Butyl,DMP,TMOB,TMOB,8.431506296,2.129855094,8.431506296,6.045928531,6.045928531,0.076396,0.354179,0.076187,
mol_10458,-1549.422981421867,90,2.61651,523.81424,-157.815375955,-154.60566742,-36.051019559000004,-19.704410108999998,III_benzimid,DEP,Sec-Butyl,DEP,Propyl,Propyl,10.28464853,2.129855094,10.28464853,1.649728751,1.649728751,0.077264,0.35144,0.0778,
mol_1046,-1543.406063999879,80,7.99841,513.7348400000003,-150.915286991,-148.149227319,-23.248580941,-19.454661527,I_imid,tolu,Ethyl,tolu,DMBz,DMBz,3.798133026,1.711067804,3.798133026,2.127721562,2.127721562,0.041119,0.130791,0.047128,
mol_10460,-1628.012770346905,96,3.88373,551.8673999999984,-157.496601383,-154.071657261,-35.607370696000004,-19.255741174,III_benzimid,DEP,Sec-Butyl,DEP,Isobutyl,Isobutyl,10.28464853,2.129855094,10.28464853,3.276026296,3.276026296,0.079491,0.355584,0.07885,
mol_10465,-1854.161604111289,98,8.99717,619.8998399999979,-154.52660128600002,-153.072035424,-39.159071636,-19.436463766000003,III_benzimid,DEP,Sec-Butyl,DEP,tolu,tolu,10.28464853,2.129855094,10.28464853,3.798133026,3.798133026,0.067803,0.327372,0.06657,
mol_10468,-2011.345073636847,110,10.44694,676.0061599999977,-148.02121548300002,-145.656134062,-38.900537928,-19.612793794999998,III_benzimid,DEP,Sec-Butyl,DEP,TMP,TMP,10.28464853,2.129855094,10.28464853,7.628118434,7.628118434,0.070163,0.332368,0.067807,
mol_10470,-1854.159487884951,98,8.11908,619.8998399999979,-154.805842791,-154.212219277,-37.359375824,-19.602126142,III_benzimid,DEP,Sec-Butyl,DEP,Bz,Bz,10.28464853,2.129855094,10.28464853,1.541420611,1.541420611,0.072801,0.338988,0.073322,
mol_10471,-2011.345599716518,110,7.02402,676.0061599999977,-150.787275155,-150.635417977,-35.105991005,-19.171654968,III_benzimid,DEP,Sec-Butyl,DEP,DMBz,DMBz,10.28464853,2.129855094,10.28464853,2.127721562,2.127721562,0.080453,0.358277,0.080869,
mol_1048,-1765.623631952018,78,1.74660,549.6792799999982,-143.902246407,-142.937137565,-24.965445565,-17.925422094,I_imid,tolu,Ethyl,tolu,DMOB,DMOB,3.798133026,1.711067804,3.798133026,6.042753333,6.042753333,0.064145,0.205592,0.064674,
mol_10482,-1549.394228500547,90,4.34673,523.8142399999999,-157.04479490300002,-155.14093259700002,-34.703757736,-17.417767313000002,III_benzimid,TMP,Sec-Butyl,TMP,t-Butyl,t-Butyl,7.628118434,2.129855094,7.628118434,4.972259776,4.972259776,0.081925,0.367261,0.080147,
mol_10488,-1932.764987547957,104,11.09629,647.9529999999978,-148.065141113,-144.984699432,-38.55415296,-18.259256882,III_benzimid,TMP,Sec-Butyl,TMP,TMP,TMP,7.628118434,2.129855094,7.628118434,7.628118434,7.628118434,0.066906,0.326668,0.066385,
mol_10491,-1932.765825763933,104,10.44426,647.9529999999978,-150.252637487,-148.623624123,-35.436060739,-17.761014736,III_benzimid,TMP,Sec-Butyl,TMP,DMBz,DMBz,7.628118434,2.129855094,7.628118434,2.127721562,2.127721562,0.078863,0.351283,0.075124,
mol_10496,-1235.063935740173,66,0.98059,411.6016000000004,-159.388541018,-154.911264303,-34.925895922,-20.112290959000003,III_benzimid,EP,Sec-Butyl,EP,Methyl,Methyl,3.874770761,2.129855094,3.874770761,1.803016771,1.803016771,0.08316,0.369345,0.084295,
mol_10497,-1313.653293030637,72,2.05259,439.65476000000046,-158.74597180199999,-155.316007608,-35.583525354,-20.75799772,III_benzimid,EP,Sec-Butyl,EP,Ethyl,Ethyl,3.874770761,2.129855094,3.874770761,1.711067804,1.711067804,0.075477,0.34884,0.074381,
mol_10498,-1392.245381840142,78,3.83199,467.70792000000057,-158.388919181,-154.433729954,-35.388997564,-20.665126388,III_benzimid,EP,Sec-Butyl,EP,Propyl,Propyl,3.874770761,2.129855094,3.874770761,1.649728751,1.649728751,0.07679,0.352925,0.07615,
mol_10508,-1854.165319574914,98,11.87039,619.8998399999979,-147.854298089,-145.605305833,-38.755583349000005,-21.062339585,III_benzimid,EP,Sec-Butyl,EP,TMP,TMP,3.874770761,2.129855094,3.874770761,7.628118434,7.628118434,0.06852,0.332332,0.069085,
mol_10509,-1775.559163958756,92,10.55599,591.846679999998,-153.535137066,-150.16227619100002,-39.952870521,-21.698006202,III_benzimid,EP,Sec-Butyl,EP,EP,EP,3.874770761,2.129855094,3.874770761,3.874770761,3.874770761,0.061694,0.325514,0.069665,
mol_10510,-1696.979245894006,86,8.61536,563.793519999998,-156.403480705,-154.454437751,-36.936434758,-20.668891442000003,III_benzimid,EP,Sec-Butyl,EP,Bz,Bz,3.874770761,2.129855094,3.874770761,1.541420611,1.541420611,0.074474,0.349657,0.078982,
